"Original Title","numberOfPages","authorAbout","bookFormat","numberOfRatings","firstPublishedDate","ISBN","bookId","description","authorName","title","Edition Language","publishedBy","rating","Literary Awards","Characters"
"Il nome della rosa","536","Umberto Eco was an Italian writer of fiction, essays, academic texts, and children's books. A professor of semiotics at the University of Bologna, Eco’s brilliant fiction is known for its playful use of language and symbols, its astonishing array of allusions and references, and clever use of puzzles and narrative inventions. His perceptive essays on modern culture are filled with a delightful sense of humor and irony, and his ideas on semiotics, interpretation, and aesthetics have established his reputation as one of academia’s foremost thinkers.","Paperback","354298","January 1, 1980","0156001314","119073","The year is 1327. Benedictines in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns detective. His tools are the logic of Aristotle, the theology of Aquinas, the empirical insights of Roger Bacon—all sharpened to a glistening edge by wry humor and a ferocious curiosity. He collects evidence, deciphers secret symbols and coded manuscripts, and digs into the eerie labyrinth of the abbey, where “the most interesting things happen at night.”","Umberto Eco","The Name of the Rose","English","Harvest Books","4.13","CWA New Blood Dagger, إمبيرتو, Premio Strega, Los Angeles Times Book Prize, Edgar Award, PEN Translation Prize, Premio Anghiari, Premio Il Libro dell'anno, Prix Médicis Etranger, このミステリーがすごい！","William of Baskerville, Adso of Melk, Abo of Fossanova, Severinus of Sankt Wendel, Malachi of Hildesheim, Berengar of Arundel, Venantius of Salvemec, Jorge of Burgos, Remigio of Varagine, Salvatore of Montferrat, Nicholas of Morimondo, Ubertino of Casale, Bernard Gui, Benno of Uppsala, Alinardo of Grottaferrata, Michael of Cesena"
"Мастер и Маргарита","372","Mikhail Bulgakov was born in Kyiv, Russian Empire (today part of modern Ukraine) on 3/15 May 1891. He studied and briefly practised medicine and, after indigent wanderings through revolutionary Russia and the Caucasus, he settled in Moscow in 1921. His sympathetic portrayal of White characters in his stories, in the plays <i>The Days of the Turbins (The White Guard)</i>, which enjoyed great success at the Moscow Art Theatre in 1926, and Flight (1927), and his satirical treatment of the officials of the New Economic Plan, led to growing criticism, which became violent after the play, <i>The Purple Island</i>. His later works treat the subject of the artist and the tyrant under the guise of historical characters, with plays such as Molière, staged in 1936, <i>Don Quixote</i>, staged in 1940, and Pushkin, staged in 1943. He also wrote a brilliant biography, highly original in form, of his literary hero, Molière, but <i>The Master and Margarita</i>, a fantasy novel about the devil and his henchmen set in modern Moscow, is generally considered his masterpiece. Fame, at home and abroad, was not to come until a quarter of a century after his death in Moscow in 1940. <br /><br /><i> <b>Detailed Version</b> </i><br /><br /><i><b>Mikhaíl Afanasyevich Bulgakov</b> (Russian: <b><a href=""https://www.goodreads.com/author/show/17014442.___________________________"" title=""Михаил Афанасьевич Булгаков"" rel=""nofollow noopener"">Михаил Афанасьевич Булгаков</a>)</b> was the first of six children in the family of a theology professor. His family belonged to the intellectual elite of Kyiv. Bulgakov and his brothers took part in the demonstration commemorating the death of Leo Tolstoy. Bulgakov later graduated with honors from the Medical School of Kyiv University in 1915. He married his classmate Tatiana Lappa, who became his assistant at surgeries and in his doctor's office. He practiced medicine, specializing in venereal and other infectious diseases, from 1915 to 1919 (he later wrote about the experience in ""Notes of a Young Doctor."")<br /><br />He joined the anti-communist White Army during the Russian Civil War. After the Civil War, he tried (unsuccesfully) to emigrate from Russia to reunite with his brother in Paris. Several times he was almost killed by opposing forces on both sides of the Russian Civil War, but soldiers needed doctors, so Bulgakov was left alive. He provided medical help to the Chehchens, Caucasians, Cossacs, Russians, the Whites, and the Reds.<br /><br />In 1921, Bulgakov moved to Moscow. There he became a writer and became friends with Valentin Katayev, Yuri Olesha, Ilya Ilf, Yevgeni Petrov, and Konstantin Paustovsky. Later, he met Mikhail Zoschenko, Anna Akhmatova, Viktor Ardov, Sergei Mikhalkov, and Kornei Chukovsky. Bulgakov's plays at the Moscow Art Theatre were directed by Stanislavsky and Vladimir Nemirovich-Danchenko. <br /><br />Bugakov's own way of life and his witty criticism of the ugly realities of life in the Soviet Union caused him much trouble. His story ""Heart of a Dog"" (1925) is a bitter satire about the loss of civilized values in Russia under the Soviet system. Soon after, Bulgakov was interrogated by the Soviet secret service, OGPU. After interrogations, his personal diary and several unfinished works were confiscated by the secret service. His plays were banned in all theaters, which terminated his income. Destitute, he wrote to his brother in Paris about his terrible life and poverty in Moscow. Bulgakov distanced himself from the Proletariat Writer's Union because he refused to write about the peasants and proletariat. He adapted ""Dead Souls"" by Nikolai Gogol for the stage; it became a success but was soon banned.<br /><br />He took a risk and wrote a letter to Joseph Stalin with an ultimatum: ""Let me out of the Soviet Union, or restore my work at the theaters."" On the 18th of April of 1930, Bulgakov received a telephone call from Joseph Stalin. The dictator told the writer to fill an employment application at the Moscow Art Theater. Gradually, Bulgakov's plays were back in the repertoire of the Moscow Art Theatre. But most other theatres were in fear and did not stage any of th</i>","Paperback","331680","January 1, 1967","0679760806","117833","<b>The first complete, annotated English Translation of Mikhail Bulgakov's comic masterpiece.</b><br /><br />An audacious revision of the stories of Faust and Pontius Pilate, <i>The Master and Margarita</i> is recognized as one of the essential classics of modern Russian literature. The novel's vision of Soviet life in the 1930s is so ferociously accurate that it could not be published during its author's lifetime and appeared only in a censored edition in the 1960s. Its truths are so enduring that its language has become part of the common Russian speech.<br /><br />One hot spring, the devil arrives in Moscow, accompanied by a retinue that includes a beautiful naked witch and an immense talking black cat with a fondness for chess and vodka. The visitors quickly wreak havoc in a city that refuses to believe in either God or Satan. But they also bring peace to two unhappy Muscovites: one is the Master, a writer pilloried for daring to write a novel about Christ and Pontius Pilate; the other is Margarita, who loves the Master so deeply that she is willing literally to go to hell for him. What ensues is a novel of inexhaustible energy, humor, and philosophical depth, a work whose nuances emerge for the first time in Diana Burgin's and Katherine Tiernan O'Connor's splendid English version.","Mikhail Bulgakov","The Master and Margarita","English","Vintage International","4.29","Premi Crítica Serra d'Or de Teatre i arts escèniques, Read Russia Prize","Lucifer, Pontius Pilate, Behemot, Master, Margarita Nicolaevna, Ivan Nikolayevich Ponyryov, Yeshua Ha-Nozri, Mikhail Alexandrovich Berlioz, Hella (The Master and Margarita), Stephan Bogdanovich Likhodeyev, Natasha (The Master and Margarita), Korovyev, Azazello"
"Im Westen nichts Neues","296","Experiences of German-born American writer <b>Erich Maria Remarque</b> in World War I based <i>
  <a href=""https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front"" title=""All Quiet on the Western Front"" rel=""nofollow noopener"">All Quiet on the Western Front</a>
</i> (1929), his best known novel. <br /><br />People most widely read literature of author with pen name of Erich Paul Remark in the twentieth century. <br /><br />German history of the twentieth century essentially marks biography of Remarque and fundamentally influences his writing: Childhood and youth, the Weimar Republic, and most of all his exile in Switzerland and the United States. The first publication attained worldwide recognition, continuing today. <br /><br />Examples of his other novels also internationally published are: The Road Back (1931), Three Comrades (1936, 38), Arch of Triumph (1945), The Black Obelisk (1956), and Night in Lisbon (1962). <br /><br />Remarque's novels have been translated in more than fifty languages; globally the total edition comes up to several million copies. <br /><br />The complete works of Remarque are both highly interrelated with his Osnabrück background and speaking thematically of a critical examination of German history, whereby the preservation of human dignity and humanity in times of oppression, terror and war always was at the forefront of his literary creation. <br /><br />AKA:<br /><a href=""https://www.goodreads.com/author/show/17900575._________________"" title=""Έριχ Μαρία Ρεμάρκ"" rel=""nofollow noopener"">Έριχ Μαρία Ρεμάρκ</a> (Greek)<br /><a href=""https://www.goodreads.com/author/show/8106923._________________"" title=""Эрих Мария Ремарк"" rel=""nofollow noopener"">Эрих Мария Ремарк</a> (Russian)","Mass Market Paperback","440042","January 1, 1928","0449213943","355697","One by one the boys begin to fall…<br /><br />In 1914 a room full of German schoolboys, fresh-faced and idealistic, are goaded by their schoolmaster to troop off to the ‘glorious war’. With the fire and patriotism of youth they sign up. What follows is the moving story of a young ‘unknown soldier’ experiencing the horror and disillusionment of life in the trenches.","Erich Maria Remarque","All Quiet on the Western Front","English","Ballantine Books","4.06","Luisterboek Award","Paul Bäumer, Albert Kropp, Stanislaus Katczinsky, Haie Westhus, Tjaden, Fredrich Müller, Albert Kropp, Stanislaus Katczinsky, Haie Westhus, Tjaden"
"Angela's Ashes: A Memoir","452","Francis ""Frank"" McCourt was an Irish-American teacher and author. McCourt was born in Brooklyn; however, his family returned to their native Ireland in 1934.<br /><br />He received the <a href=""http://www.goodreads.com/award/show/16-pulitzer-prize"" rel=""nofollow noopener"">Pulitzer Prize</a> (1997) and National Book Critics Circle Award (1996) for his memoir <i>Angela's Ashes</i> (1996), which details his childhood as a poor Irish Catholic in Limerick. He is also the author of <i>'Tis</i> (1999), which continues the narrative of his life, picking up from the end of the previous book and focusing on life as a new immigrant in America. <i>Teacher Man</i> (2005), detailed the challenges of being a young, uncertain teacher who must impart knowledge to his students. His works are often part of the syllabus in high schools. In 2002 he was awarded an honorary degree from the University of Western Ontario.<br /><br />He died Sunday, July 19, 2009 of melanoma, the deadliest form of skin cancer. He was 78.","Paperback","615624","September 5, 1996","0007205236","252577","Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.<br /><br />""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."" <br /><br />So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy—exasperating, irresponsible and beguiling—does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies. <br /><br />Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors—yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness. <br /><br />Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic.","Frank McCourt","Angela's Ashes","English","Harper Perennial","4.14","Pulitzer Prize, American Booksellers Book Of The Year  Award, Audie Award, Los Angeles Times Book Prize, Exclusive Books Boeke Prize, National Book Critics Circle Award","Frank McCourt"
"A Confederacy of Dunces","394","John Kennedy Toole was an American novelist from New Orleans, Louisiana, best known for his novel <i>A Confederacy of Dunces</i>.<br /><br />Toole's novels remained unpublished during his lifetime. Some years after his death by suicide, Toole's mother brought the manuscript of <i>A Confederacy of Dunces</i> to the attention of the novelist Walker Percy, who ushered the book into print. In 1981 Toole was posthumously awarded the Pulitzer Prize for Fiction.<br /><br />","Paperback","268211","May 1, 1980","0802130208","310612","Here is Ignatius Reilly: slob extraordinary, a mad Oliver Hardy, a fat Don Quixote, a perverse Thomas Aquinas rolled into one, who is in violent revolt against the entire modern age, lying in his flannel nightshirt in a back bedroom on Constantinople Street in New Orleans, who between gigantic seizures of flatulence and eructations is filling dozens of Big Chief tablets with invective.<br /><br />His mother thinks he needs to go to work. He does, in a succession of jobs. Each job rapidly escalates into a lunatic adventure, a full-blown disaster; yet each has, like Don Quixote's, its own eerie logic.<br /><br />His girlfriend, Myrna Minkoff of the Bronx, thinks he needs sex. <br /><br />Ignatius is an intellectual, ideologue, deadbeat, goof-off, glutton, who should repel the reader with his gargantuan bloats, his thunderous contempt, and one-man war against everybody: Freud, homosexuals, heterosexuals, Protestants, and the assorted excesses of modern times. <br /><br />A tragicomedy, set in New Orleans.","John Kennedy Toole","A Confederacy of Dunces","English","Grove Weidenfeld","3.89","Pulitzer Prize, PEN/Faulkner Award for Fiction, Los Angeles Times Book Prize","Ignatius Jacques Reilly, Myrna Minkoff, Irene Reilly, Santa Battaglia, Angelo Mancuso, Lana Lee, Burma Jones"
"For Whom the Bell Tolls","471","Terse literary style of <b>Ernest Miller Hemingway</b>, an American writer, ambulance driver of World War I , journalist, and expatriate in Paris during the 1920s, marks short stories and novels, such as <i>
  <a href=""https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises"" title=""The Sun Also Rises"" rel=""nofollow noopener"">The Sun Also Rises</a>
</i> (1926) and <i>
  <a href=""https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea"" title=""The Old Man and the Sea"" rel=""nofollow noopener"">The Old Man and the Sea</a>
</i> (1952), which concern courageous, lonely characters, and he won the Nobel Prize of 1954 for literature.<br /><br />Economical and understated style of Hemingway strongly influenced 20th-century fiction, whereas his life of adventure and his public image influenced later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s. He published seven novels, six short story collections and two nonfiction works. Survivors published posthumously three novels, four collections of short stories, and three nonfiction works. People consider many of these classics. <br /><br />After high school, Hemingway reported for a few months for the Kansas City <i>Star</i> before leaving for the Italian front to enlist. In 1918, someone seriously wounded him, who returned home. His wartime experiences formed the basis for his novel <i>
  <a href=""https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms"" title=""A Farewell to Arms"" rel=""nofollow noopener"">A Farewell to Arms</a>
</i>. In 1922, he married Hadley Richardson, the first of his four wives. The couple moved, and he worked as a foreign correspondent and fell under the influence of the modernist writers and artists of the expatriate community of the ""lost generation"" of 1920s. <br /><br />After his divorce of 1927 from Hadley Richardson, Hemingway married Pauline Pfeiffer. At the Spanish civil war, he acted as a journalist; afterward, they divorced, and he wrote <i>
  <a href=""https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls"" title=""For Whom the Bell Tolls"" rel=""nofollow noopener"">For Whom the Bell Tolls</a>
</i>. Hemingway maintained permanent residences in Key West, Florida, and Cuba during the 1930s and 1940s. <br /><br />Martha Gellhorn served as third wife of Hemingway in 1940. When he met Mary Welsh in London during World War II, they separated; he presently witnessed at the Normandy landings and liberation of Paris.<br /><br />Shortly after 1952, Hemingway went on safari to Africa, where two plane crashes almost killed him and left him in pain and ill health for much of the rest of his life. Nevertheless, in 1959, he moved from Cuba to Ketchum, Idaho, where he committed suicide in the summer of 1961. ","Paperback","285441","October 1, 1940",,"46170","In 1937 Ernest Hemingway traveled to Spain to cover the civil war there for the North American Newspaper Alliance. Three years later he completed the greatest novel to emerge from ""the good fight,"" <i>For Whom the Bell Tolls.</i> The story of Robert Jordan, a young American in the International Brigades attached to an antifascist guerilla unit in the mountains of Spain, it tells of loyalty and courage, love and defeat, and the tragic death of an ideal. In his portrayal of Jordan's love for the beautiful Maria and his superb account of El Sordo's last stand, in his brilliant travesty of La Pasionaria and his unwillingness to believe in blind faith, Hemingway surpasses his achievement in <i>The Sun Also Rises</i> and <i>A Farewell to Arms</i> to create a work at once rare and beautiful, strong and brutal, compassionate, moving and wise. ""If the function of a writer is to reveal reality,"" Maxwell Perkins wrote to Hemingway after reading the manuscript, ""no one ever so completely performed it."" Greater in power, broader in scope, and more intensely emotional than any of the author's previous works, it stands as one of the best war novels of all time.","Ernest Hemingway","For Whom the Bell Tolls","English","Scribner","3.98",,"Maria, Pilar, Robert Jordan, Anselmo, El Sordo, Pablo Saler"
"Where the Red Fern Grows","272"," Wilson Rawls was born on September 24, 1913, in the Ozark country of Scraper, Oklahoma. His mother home-schooled her children, and after Rawls read Jack London's canine-centered tale Call of the Wild, he decided to become a writer.<br /><br />But the Great Depression hit the United States in 1929, and Rawls left home to find work. His family moved to Albuquerque, New Mexico in 1935, and he came home each fall to work and hunt. He wrote stories while he traveled, but his lack of formal education hampered his grammar, and he could not sell anything. In 1958, he gave up on his dream and burned all his work. He later revealed his literary desires to his wife, Sophie, and she encouraged him to keep writing.<br /><br />In a three-week burst, Rawls wrote Where the Red Fern Grows, a highly autobiographical and poignant account of a boy, his two hounds, and raccoon-hunting in the Ozark Mountains. His wife edited his grammar and, after serialization in the ""Saturday Evening Post,"" Doubleday published the novel in 1961. By the late 1960s, word-of-mouth helped the book become a classic for young readers. Rawls wrote (and Sophie edited) one more book, The Summer of the Monkeys, in 1976. This, too, became a classic. Rawls died in 1984 in Idaho Falls, Idaho.","Mass Market Paperback","394336","January 1, 1961","0375806814","10365","<b>Billy, Old Dan, and Little Ann—a boy and his two dogs...</b><br /><br />A loving threesome, they ranged the dark hills and river bottoms of Cherokee County. Old Dan had the brawn, Little Ann had the brains—and Billy had the will to train them to be the finest hunting team in the valley. Glory and victory were coming to them, but sadness waited too. And close by was the strange and wonderful power that's only found...<br /><br /><i>Where the Red Fern Grows</i>—An exciting tale of love and adventure you'll never forget.<br /><br />(from the back cover)","Wilson Rawls","Where the Red Fern Grows","English","Yearling","4.11","Massachusetts Children's Book Award, North Dakota Children's Choice Award","Billy Colman, Old Dan, Little Ann"
"Lonesome Dove","960","Larry McMurtry was born in Wichita Falls, Texas on June 3, 1936. He is the author of twenty-nine novels, including the Pulitzer Prize-winning <i>Lonesome Dove</i>, three memoirs, two essay collections, and more than thirty screenplays. <br /><br />His first published book, <i>Horseman, Pass By</i>, was adapted into the film ""Hud."" A number of his other novels also were adapted into movies as well as a television mini-series.<br /><br />Among many other accolades, in 2006 he was the co-winner of both the Best Screenplay Golden Globe and the Academy Award for Best Adapted Screenplay for ""Brokeback Mountain."" ","Mass Market Paperback","181553","January 1, 1985","067168390X","256008","A love story, an adventure, and an epic of the frontier, Larry McMurtry’s Pulitzer Prize-winning classic, <i>Lonesome Dove</i>, the third book in the <i>Lonesome Dove</i> tetralogy, is the grandest novel ever written about the last defiant wilderness of America.<br /><br />Journey to the dusty little Texas town of Lonesome Dove and meet an unforgettable assortment of heroes and outlaws, whores and ladies, Indians and settlers. Richly authentic, beautifully written, always dramatic, <i>Lonesome Dove</i> is a book to make us laugh, weep, dream, and remember.","Larry McMurtry","Lonesome Dove","English","Pocket Books","4.52","Pulitzer Prize, PEN/Faulkner Award for Fiction, National Book Critics Circle Award, Spur Award","Captain Woodrow Call, Augustus ""Gus"" McCrae, Joshua Deets, Newt Dobbs, Pea Eye Parker, Lorena Wood"
"The Red Tent","324","Anita Diamant is the author of thirteen books -- including THE RED TENT. Based on the biblical story of Dinah, THE RED TENT became a word-of-mouth bestseller in the US and around the world, where it has been published in more than 25 countries. <br /><br />Her new book, a work of nonfiction. PERIOD. END OF SENTENCE. A NEW CHAPTER IN THE FIGHT FOR MENSTRUAL JUSTICE will be published in May 2021., As different as they are, this book returns to some of the themes of THE RED TENT -- including the meaning and experience of menstruation.<br /><br />Anita has written four other novels: GOOD HARBOR, THE LAST DAYS OF DOGTOWN, DAY AFTER NIGHT, and THE BOSTON GIRL. She is also the author of six non-fiction guides to contemporary Jewish life, which have become classic reference books: THE JEWISH WEDDING NOW, THE JEWISH BABY BOOK, LIVING A JEWISH LIFE, CHOOSING A JEWISH LIFE, HOW TO RAISE A JEWISH CHILD, and SAYING KADDISH.. <br /><br />An award-winning journalist, Diamant's articles have appeared in the Boston Globe, Real Simple, Parenting Magazine, Hadassah, Boston Magazine and Yankee Magazine. PITCHING MY TENT, a collection personal essays, is drawn from twenty years worth of newspaper and magazine columns.","Hardcover","585280","January 1, 1997","0312353766","4989","Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, <i>The Red Tent</i> combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.","Anita Diamant","The Red Tent","English","St. Martin's Press","4.2","Book Sense Book of the Year Award, Boston Author's Club Award","Isaac (Bible), Dinah (Bible), Jacob (bible - son of Isaac)"
"To the Lighthouse","209","(Adeline) Virginia Woolf was an English novelist and essayist regarded as one of the foremost modernist literary figures of the twentieth century.<br /><br />During the interwar period, Woolf was a significant figure in London literary society and a member of the Bloomsbury Group. Her most famous works include the novels <i>Mrs. Dalloway</i> (1925), <i>To the Lighthouse</i> (1927), and <i>Orlando</i> (1928), and the book-length essay <i>A Room of One's Own</i> (1929) with its famous dictum, ""a woman must have money and a room of her own if she is to write fiction.""","Paperback","173836","May 5, 1927",,"59716","The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.<br /><br />As time winds its way through their lives, the Ramsays face, alone and simultaneously, the greatest of human challenges and its greatest triumph—the human capacity for change.","Virginia Woolf","To the Lighthouse","English","Harvest Books","3.8","Prix Femina - Vie Heureuse","James Ramsay, Mrs. Ramsay, Mr. Ramsay, Lily Briscoe, Paul Rayley, Minta Doyle, Charles Tansley, William Bankes, Augustus Carmichael, Andrew Ramsay, Jasper Ramsay, Roger Ramsay, Prue Ramsay, Rose Ramsay, Nancy Ramsay, Cam Ramsay, Mrs. McNab"
"Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream","204","<b>Hunter Stockton Thompson</b> (1937-2005) was an American journalist and author, famous for his book <i>Fear and Loathing in Las Vegas</i>. He is credited as the creator of Gonzo journalism, a style of reporting where reporters involve themselves in the action to such a degree that they become the central figures of their stories. He is also known for his promotion and use of psychedelics and other mind-altering substances (and to a lesser extent, alcohol and firearms), his libertarian views, and his iconoclastic contempt for authority. He committed suicide in 2005. ","Paperback","340122","July 7, 1971","0679785892","7745","<i>Fear and Loathing in Las Vegas</i> is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken.","Hunter S. Thompson","Fear and Loathing in Las Vegas","English","Vintage Books","4.07",,"Hunter S. Thompson"
"Cat's Cradle","179","Kurt Vonnegut, Junior was an American novelist, satirist, and most recently, graphic artist. He was recognized as New York State Author for 2001-2003. <br /><br />He was born in Indianapolis, later the setting for many of his novels. He attended Cornell University from 1941 to 1943, where he wrote a column for the student newspaper, the Cornell Daily Sun. Vonnegut trained as a chemist and worked as a journalist before joining the U.S. Army and serving in World War II. <br /><br />After the war, he attended University of Chicago as a graduate student in anthropology and also worked as a police reporter at the City News Bureau of Chicago. He left Chicago to work in Schenectady, New York in public relations for General Electric. He attributed his unadorned writing style to his reporting work. <br /><br />His experiences as an advance scout in the Battle of the Bulge, and in particular his witnessing of the bombing of Dresden, Germany whilst a prisoner of war, would inform much of his work. This event would also form the core of his most famous work, Slaughterhouse-Five, the book which would make him a millionaire. This acerbic 200-page book is what most people mean when they describe a work as ""Vonnegutian"" in scope. <br /><br />Vonnegut was a self-proclaimed humanist and socialist (influenced by the style of Indiana's own Eugene V. Debs) and a lifelong supporter of the American Civil Liberties Union.<br /><br />The novelist is known for works blending satire, black comedy and science fiction, such as Slaughterhouse-Five (1969), Cat's Cradle (1963), and Breakfast of Champions (1973) ","Paperback","391217","January 1, 1963","0140285601","135479","<b>Told with deadpan humour and bitter irony, Kurt Vonnegut's cult tale of global destruction preys on our deepest fears of witnessing Armageddon and, worse still, surviving it ...</b><br /><br />Dr Felix Hoenikker, one of the founding 'fathers' of the atomic bomb, has left a deadly legacy to the world. For he's the inventor of 'ice-nine', a lethal chemical capable of freezing the entire planet. The search for its whereabouts leads to Hoenikker's three ecentric children, to a crazed dictator in the Caribbean, to madness. Felix Hoenikker's Death Wish comes true when his last, fatal gift to humankind brings about the end, that for all of us, is nigh...","Kurt Vonnegut Jr.","Cat's Cradle","English","Penguin","4.16","Hugo Award","Bokonon, Angela Hoenikker, Emily Hoenikker, Frank Hoenikker, Newt Hoenikker, ""Papa"" Monzano, Mona Aamons Monzano, John (divers)"
