Original Title;authorAbout;numberOfRatings;url;firstPublishedDate;ISBN;description;authorName;Edition Language;rating;Literary Awards;Characters;bookId;title
Speaker for the Dead;Orson Scott Card is the author of the novels Ender's Game, Ender's Shadow, and Speaker for the Dead, which are widely read by adults and younger readers, and are increasingly used in schools.Besides these and other science fiction novels, Card writes contemporary fantasy (Magic Street, Enchantment, Lost Boys), biblical novels (Stone Tables, Rachel and Leah), the American frontier fantasy series The Tales of Alvin Maker (beginning with Seventh Son), poetry (An Open Book), and many plays and scripts.Card was born in Washington and grew up in California, Arizona, and Utah. He served a mission for the LDS Church in Brazil in the early 1970s. Besides his writing, he teaches occasional classes and workshops and directs plays. He recently began a long-term position as a professor of writing and literature at Southern Virginia University.Card currently lives in Greensboro, North Carolina, with his wife, Kristine Allen Card, and their youngest child, Zina Margaret.For further details, see the author's Wikipedia page.For an ordered list of the author's works, see Wikipedia's List of works by Orson Scott Card.http://us.macmillan.com/author/orsons...;249186;https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead;1986-03-01;0812550757;Now available in mass market, the revised, definitive edition of the Hugo and Nebula Award-winning classic. In this second book in the saga set 3,000 years after the terrible war, Ender Wiggin is reviled by history as the Xenocide--the destroyer of the alien Buggers. Now, Ender tells the true story of the war and seeks to stop history from repeating itself. ...In the aftermath of his terrible war, Ender Wiggin disappeared, and a powerful voice arose: The Speaker for the Dead, who told the true story of the Bugger War.Now, long years later, a second alien race has been discovered, but again the aliens' ways are strange and frightening...again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenocide, who has the courage to confront the mystery...and the truth.Speaker for the Dead, the second novel in Orson Scott Card's Ender Quintet, is the winner of the 1986 Nebula Award for Best Novel and the 1987 Hugo Award for Best Novel.;Orson Scott Card;English;4.09;Hugo Award, Nebula Award, Locus Award, Kurd-Laßwitz-Preis, John W. Campbell Memorial Award, SF Chronicle Award, Prix Cosmos 2000;Andrew Wiggin;7967;Speaker for the Dead
Se questo è un uomo;"Primo Michele Levi (Italian: [ˈpriːmo ˈlɛːvi]) was a chemist and writer, the author of books, novels, short stories, essays, and poems. His unique 1975 work, The Periodic Table, linked to qualities of the elements, was named by the Royal Institution of Great Britain as the best science book ever written.Levi spent eleven months imprisoned at Monowitz, one of the three main camps in the Auschwitz concentration camp complex (record number: 174,517) before the camp was liberated by the Red Army on 18 January 1945. Of the 650 Italian Jews in his transport, Levi was one of only twenty who left the camps alive.The Primo Levi Center, dedicated ""to studying the history and culture of Italian Jewry,"" was named in his honor.";71431;https://www.goodreads.com/book/show/6174.Survival_in_Auschwitz;1947-01-01;0684826801;"The true and harrowing account of Primo Levi’s experience at the German concentration camp of Auschwitz and his miraculous survival; hailed by The Times Literary Supplement as a “true work of art, this edition includes an exclusive conversation between the author and Philip Roth.In 1943, Primo Levi, a twenty-five-year-old chemist and “Italian citizen of Jewish race,” was arrested by Italian fascists and deported from his native Turin to Auschwitz. Survival in Auschwitz is Levi’s classic account of his ten months in the German death camp, a harrowing story of systematic cruelty and miraculous endurance. Remarkable for its simplicity, restraint, compassion, and even wit, Survival in Auschwitz remains a lasting testament to the indestructibility of the human spirit.";Primo Levi;English;4.32;Deutscher Hörbuchpreis;Primo Levi;6174;Survival in Auschwitz
The Collector;"John Robert Fowles was born in Leigh-on-Sea, a small town in Essex. He recalled the English suburban culture of the 1930s as oppressively conformist and his family life as intensely conventional. Of his childhood, Fowles said ""I have tried to escape ever since.""Fowles attended Bedford School, a large boarding school designed to prepare boys for university, from ages 13 to 18. After briefly attending the University of Edinburgh, Fowles began compulsory military service in 1945 with training at Dartmoor, where he spent the next two years. World War II ended shortly after his training began so Fowles never came near combat, and by 1947 he had decided that the military life was not for him.Fowles then spent four years at Oxford, where he discovered the writings of the French existentialists. In particular he admired Albert Camus and Jean-Paul Sartre, whose writings corresponded with his own ideas about conformity and the will of the individual. He received a degree in French in 1950 and began to consider a career as a writer.Several teaching jobs followed: a year lecturing in English literature at the University of Poitiers, France; two years teaching English at Anargyrios College on the Greek island of Spetsai; and finally, between 1954 and 1963, teaching English at St. Godric's College in London, where he ultimately served as the department head.The time spent in Greece was of great importance to Fowles. During his tenure on the island he began to write poetry and to overcome a long-time repression about writing. Between 1952 and 1960 he wrote several novels but offered none to a publisher, considering them all incomplete in some way and too lengthy.In late 1960 Fowles completed the first draft of The Collector in just four weeks. He continued to revise it until the summer of 1962, when he submitted it to a publisher; it appeared in the spring of 1963 and was an immediate best-seller. The critical acclaim and commercial success of the book allowed Fowles to devote all of his time to writing.The Aristos, a collection of philosophical thoughts and musings on art, human nature and other subjects, appeared the following year. Then in 1965, The Magus - drafts of which Fowles had been working on for over a decade - was published. The most commercially successful of Fowles' novels, The French Lieutenant's Woman, appeared in 1969. It resembles a Victorian novel in structure and detail, while pushing the traditional boundaries of narrative in a very modern manner. In the 1970s Fowles worked on a variety of literary projects--including a series of essays on nature--and in 1973 he published a collection of poetry, Poems. Daniel Martin, a long and somewhat autobiographical novel spanning over 40 years in the life of a screenwriter, appeared in 1977, along with a revised version of The Magus. These were followed by Mantissa (1982), a fable about a novelist's struggle with his muse; and A Maggot (1985), an 18th century mystery which combines science fiction and history.In addition to The Aristos, Fowles wrote a variety of non-fiction pieces including many essays, reviews, and forewords/afterwords to other writers' novels. He also wrote the text for several photographic compilations.From 1968, Fowles lived in the small harbour town of Lyme Regis, Dorset. His interest in the town's local history resulted in his appointment as curator of the Lyme Regis Museum in 1979, a position he filled for a decade.Wormholes, a book of essays, was published in May 1998. The first comprehensive biography on Fowles, John Fowles: A Life in Two Worlds, was published in 2004, and the first volume of his journals appeared the same year (followed recently by volume two).John Fowles passed away on November 5, 2005 after a long illness.";75845;https://www.goodreads.com/book/show/243705.The_Collector;1963-05-01;;Withdrawn, uneducated and unloved, Frederick collects butterflies and takes photographs. He is obsessed with a beautiful stranger, the art student Miranda. When he wins the pools he buys a remote Sussex house and calmly abducts Miranda, believing she will grow to love him in time.;John Fowles;English;3.98;[];Frederick Clegg, Miranda Grey;243705;The Collector
100 Selected Poems by e. e. Cummings;"Edward Estlin Cummings was born in Cambridge, Massachusetts, on October 14, 1894. He began writing poems as early as 1904 and studied Latin and Greek at the Cambridge Latin High School.He received his BA in 1915 and his MA in 1916, both from Harvard University. His studies there introduced him to the poetry of avant-garde writers, such as Gertrude Stein and Ezra Pound.In 1917, Cummings published an early selection of poems in the anthology Eight Harvard Poets. The same year, Cummings left the United States for France as a volunteer ambulance driver in World War I. Five months after his assignment, however, he and a friend were interned in a prison camp by the French authorities on suspicion of espionage (an experience recounted in his novel, The Enormous Room) for his outspoken anti-war convictions.After the war, he settled into a life divided between houses in rural Connecticut and Greenwich Village, with frequent visits to Paris. He also traveled throughout Europe, meeting poets and artists, including Pablo Picasso, whose work he particularly admired.In 1920, The Dial published seven poems by Cummings, including ""Buffalo Bill ’s.” Serving as Cummings’ debut to a wider American audience, these “experiments” foreshadowed the synthetic cubist strategy Cummings would explore in the next few years.In his work, Cummings experimented radically with form, punctuation, spelling, and syntax, abandoning traditional techniques and structures to create a new, highly idiosyncratic means of poetic expression. Later in his career, he was often criticized for settling into his signature style and not pressing his work toward further evolution. Nevertheless, he attained great popularity, especially among young readers, for the simplicity of his language, his playful mode and his attention to subjects such as war and sex.The poet and critic Randall Jarrell once noted that Cummings is “one of the most individual poets who ever lived—and, though it sometimes seems so, it is not just his vices and exaggerations, the defects of his qualities, that make a writer popular. But, primarily, Mr. Cummings’s poems are loved because they are full of sentimentally, of sex, of more or less improper jokes, of elementary lyric insistence.”During his lifetime, Cummings received a number of honors, including an Academy of American Poets Fellowship, two Guggenheim Fellowships, the Charles Eliot Norton Professorship at Harvard, the Bollingen Prize in Poetry in 1958, and a Ford Foundation grant.At the time of his death, September 3, 1962, he was the second most widely read poet in the United States, after Robert Frost. He is buried in Forest Hills Cemetery in Boston, Massachusetts.source: http://www.poets.org/poetsorg/poet/e-...";28633;https://www.goodreads.com/book/show/76889.100_Selected_Poems;1923-01-01;0802130720;E.E. Cummings is without question one of the major poets of the 20th century, and this volume, first published in 1959, is indispensable for every lover of modern lyrical verse. It contains one hundred of Cummings’s wittiest and most profound poems, harvested from thirty-five of the most radically creative years in contemporary American poetry. These poems exhibit all the extraordinary lyricism, playfulness, technical ingenuity, and compassion for which Cummings is famous. They demonstrate beautifully his extrapolations from traditional poetic structures and his departures from them, as well as the unique synthesis of lavish imagery and acute artistic precision that has won him the adulation and respect of critics and poetry lovers everywhere.;E.E. Cummings;English;4.29;[];[];76889;100 Selected Poems
A Raisin in the Sun;"People know American playwright Lorraine Vivian Hansberry for her play 
  A Raisin in the Sun
 (1959). This writer inspired ""To Be Young, Gifted and Black,"" song of Nina Simone.She, the first such Black woman, wrote a play, performed on Broadway. Her best known work highlights the lives of Blacks under racial segregation in Chicago. Family of the author struggled against segregation, challenging a restrictive covenant and eventually provoking the Supreme Court case Hansberry v. Lee. The title of the play was taken from the poem ""Harlem"" by Langston Hughes: ""What happens to a dream deferred? Does it dry up like a raisin in the sun?""Hansberry moved to city of New York and afterward worked at the pan-Africanist newspaper Freedom, where she dealt with intellectuals, such as Paul Robeson and W.E.B. du Bois. Much of her work during this time concerned the African struggle for liberation and their impact on the world. People identified Hansberry as a lesbian, and several of her works concern sexual freedom, an important topic. She died of cancer at the age of 34 years. ";91789;https://www.goodreads.com/book/show/5517.A_Raisin_in_the_Sun;1959-01-01;0375508333;"""Never before, in the entire history of the American theater, has so much of the truth of black people's lives been seen on the stage,"" observed James Baldwin shortly before A Raisin in the Sun opened on Broadway in 1959.Indeed Lorraine Hansberry's award-winning drama about the hopes and aspirations of a struggling, working-class family living on the South Side of Chicago connected profoundly with the psyche of black America--and changed American theater forever.  The play's title comes from a line in Langston Hughes's poem ""Harlem,"" which warns that a dream deferred might ""dry up/like a raisin in the sun.""""The events of every passing year add resonance to A Raisin in the Sun,"" said The New York Times.  ""It is as if history is conspiring to make the play a classic.""  This Modern Library edition presents the fully restored, uncut version of Hansberry's landmark work with an introduction by Robert Nemiroff.";Lorraine Hansberry;English;3.85;New York Drama Critics' Circle Award, Audie Award;Walter Younger, Ruth Younger, Beneatha Younger, Lena Younger, Travis Younger;5517;A Raisin in the Sun
Geek Love;"Katherine Dunn was a novelist and boxing journalist who lived and worked in Oregon. She is the author of the three novels: Attic; Truck; and Geek Love. This, her most well-known work, was a finalist for both the National Book Award and the Bram Stoker Prize for horror fiction. She also authored the essay collection One Ring Circus. She died in 2016.";65573;https://www.goodreads.com/book/show/13872.Geek_Love;1989-03-01;0375713344;"Geek Love is the story of the Binewskis, a carny family whose mater- and paterfamilias set out ― with the help of amphetamine, arsenic, and radioisotopes ― to breed their own exhibit of human oddities. There's Arturo the Aquaboy, who has flippers for limbs and a megalomaniac ambition worthy of Genghis Khan . . . Iphy and Elly, the lissome Siamese twins . . . albino hunchback Oly, and the outwardly normal Chick, whose mysterious gifts make him the family's most precious ― and dangerous ― asset.As the Binewskis take their act across the backwaters of the U.S., inspiring fanatical devotion and murderous revulsion; as its members conduct their own Machiavellian version of sibling rivalry, Geek Love throws its sulfurous light on our notions of the freakish and the normal, the beautiful and the ugly, the holy and the obscene. Family values will never be the same.";Katherine Dunn;English;3.96;National Book Award Finalist;"Olympia ""Oly"" Binewski, Arturo ""Arty"" Binewski, Al Binewski";13872;Geek Love
Ethan Frome;"Edith Newbold Jones was born into such wealth and privilege that her family inspired the phrase ""keeping up with the Joneses."" The youngest of three children, Edith spent her early years touring Europe with her parents and, upon the family's return to the United States, enjoyed a privileged childhood in New York and Newport, Rhode Island. Edith's creativity and talent soon became obvious: By the age of eighteen she had written a novella, (as well as witty reviews of it) and published poetry in the Atlantic Monthly.After a failed engagement, Edith married a wealthy sportsman, Edward Wharton. Despite similar backgrounds and a shared taste for travel, the marriage was not a success. Many of Wharton's novels chronicle unhappy marriages, in which the demands of love and vocation often conflict with the expectations of society. Wharton's first major novel, The House of Mirth, published in 1905, enjoyed considerable literary success. Ethan Frome appeared six years later, solidifying Wharton's reputation as an important novelist. Often in the company of her close friend, Henry James, Wharton mingled with some of the most famous writers and artists of the day, including F. Scott Fitzgerald, André Gide, Sinclair Lewis, Jean Cocteau, and Jack London.In 1913 Edith divorced Edward. She lived mostly in France for the remainder of her life. When World War I broke out, she organized hostels for refugees, worked as a fund-raiser, and wrote for American publications from battlefield frontlines. She was awarded the French Legion of Honor for her courage and distinguished work.The Age of Innocence, a novel about New York in the 1870s, earned Wharton the Pulitzer Prize for fiction in 1921 -- the first time the award had been bestowed upon a woman. Wharton traveled throughout Europe to encourage young authors. She also continued to write, lying in her bed every morning, as she had always done, dropping each newly penned page on the floor to be collected and arranged when she was finished. Wharton suffered a stroke and died on August 11, 1937. She is buried in the American Cemetery in Versailles, France. - Barnesandnoble.com";123379;https://www.goodreads.com/book/show/5246.Ethan_Frome;1911-01-01;;The classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countrysideEthan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a hired girl, Ethan finds himself obsessed with her and with the possibilities for happiness she comes to represent.In one of American fiction's finest and most intense narratives, Edith Wharton moves this ill-starred trio toward their tragic destinies. Different in both tone and theme from Wharton's other works, Ethan Frome has become perhaps her most enduring and most widely read book.;Edith Wharton;English;3.43;[];Ethan Frome, Mrs. Hale, Zeena Frome, Mattie Silver, Mrs. Ned Hale, Denis Eady, Jotham Powell, Harmon Gow, Michael Eady, Lawyer Varnum, Ned Hale, Orin Silver, Andrew Hale, Aunt Martha Pierce, Mrs. Frome, Mrs. Homan, Dr. Buck, Eliza Spears, Aunt Philura Maple, Daniel Byrne, Dr. Kidder, Mrs. Varnum;5246;Ethan Frome
Alas, Babylon;"""Pat Frank"" was the lifelong nickname adopted by the American writer, newspaperman, and government consultant, who was born Harry Hart Frank and who is remembered today almost exclusively for his post-apocalyptic novel Alas, Babylon. Before the publication of his first novel Mr. Adam launched his second career as novelist and independent writer, Frank spent many years as a journalist and information handler for several newspapers, agencies, and government bureaus. His fiction and nonfiction books, stories, and articles made good use of his years of experience observing government and military bureaucracy and its malfunctions, and the threat of nuclear proliferation and annihilation. After the success of Alas, Babylon, Frank concentrated on writing for magazines and journals, putting his beliefs and concerns to political use, and advising various government bodies. In 1960 he served as a member of the Democratic National Committee. In 1961, the year in which he received an American Heritage Foundation Award, he was consultant to the National Aeronautics and Space Council. From 1963 through 1964 the Department of Defense made use of Frank's expertise and advice, and this consultancy turned out to be his last response to his country's call. His other books include Mr. Adam and Forbidden Area. Biography courtesy of HarperCollins.com";44558;https://www.goodreads.com/book/show/38169.Alas_Babylon;1959-01-01;0060741872;"“An extraordinary real picture of human beings numbed by catastrophe but still driven by the unconquerable determination of living creatures to keep on being alive.” — The New Yorker The classic apocalyptic novel by Pat Frank, first published in 1959 at the height of the Cold War, with an introduction by award-winning science fiction writer and scientist David Brin. “Alas, Babylon.” Those fateful words heralded the end. When the unthinkable nightmare of nuclear holocaust ravaged the United States, it was instant death for tens of millions of people; for survivors, it was a nightmare of hunger, sickness, and brutality. Overnight, a thousand years of civilization were stripped away. But for one small Florida town, miraculously spared against all the odds, the struggle was only just beginning, as the isolated survivors—men and women of all ages and races—found the courage to come together and confront the harrowing darkness.";Pat Frank;English;4.08;Audie Award;Randy Bragg;38169;Alas, Babylon
Mythology: Timeless Tales of Gods and Heroes ;Edith Hamilton, an educator, writer and a historian, was born August 12, 1867 in Dresden, Germany, of American parents and grew up in Fort Wayne, Indiana, U.S.A. Her father began teaching her Latin when she was seven years old and soon added Greek, French and German to her curriculum. Hamilton's education continued at Miss Porter's School in Farmington, Connecticut and at Bryn Mawr College near Philadelphia, Pennsylvania, from which she graduated in 1894 with an M.A. degree. The following year, she and her sister Alice went to Germany and were the first women students at the universities of Munich and Leipzich.Hamilton returned to the United States in 1896 and accepted a position of the headmistress of the Bryn Mawr Preparatory School in Baltimore, Maryland. For the next twenty-six years, she directed the education of about four hundred girls per year. After her retirement in 1922, she started writing and publishing scholarly articles on Greek drama. In 1930, when she was sixty-three years old, she published The Greek Way, in which she presented parallels between life in ancient Greece and in modern times. The book was a critical and popular success. In 1932, she published The Roman Way, which was also very successful. These were followed by The Prophets of Israel (1936), Witness to the Truth: Christ and His Interpreters (1949), Three Greek Plays, translations of Aeschylus and Euripides (1937), Mythology (1942), The Great Age of Greek Literature (1943), Spokesmen for God (1949) and Echo of Greece (1957). Hamilton traveled to Greece in 1957 to be made an honorary citizen of Athens and to see a performance in front of the Acropolis of one of her translations of Greek plays. She was ninety years old at the time. At home, Hamilton was a recipient of many honorary degrees and awards, including election to the American Academy of Arts and Letters. Edith Hamilton died on May 31, 1963 in Washington, D.C.;53949;https://www.goodreads.com/book/show/23522.Mythology;1942-01-01;0316341517;The world-renowned classic that has enthralled and delighted millions of readers with its timeless tales of gods and heroes.Edith Hamilton's Mythology succeeds like no other book in bringing to life for the modern reader the Greek, Roman, and Norse myths that are the keystone of Western culture--the stories of gods and heroes that have inspired human creativity from antiquity to the present. We meet the Greek gods on Olympus and Norse gods in Valhalla. We follow the drama of the Trojan War and the wanderings of Odysseus. We hear the tales of Jason and the Golden Fleece, Cupid and Psyche, and mighty King Midas. We discover the origins of the names of the constellations. And we recognize reference points for countless works of art, literature, and cultural inquiry--from Freud's Oedipus complex to Wagner's Ring Cycle of operas to Eugene O'Neill's Mourning Becomes Electra. Praised throughout the world for its authority and lucidity, Mythology is Edith Hamilton's masterpiece--the standard by which all other books on mythology are measured.;Edith Hamilton;English;4.03;[];[];23522;Mythology
How to Win Friends and Influence People;"Dale Breckenridge Carnegie (originally Carnagey until 1922 and possibly somewhat later) (November 24, 1888 – November 1, 1955) was an American writer and lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking and interpersonal skills. Born in poverty on a farm in Missouri, he was the author of How to Win Friends and Influence People, first published in 1936, a massive bestseller that remains popular today. He also wrote a biography of Abraham Lincoln, titled Lincoln the Unknown, as well as several other books.Carnegie was an early proponent of what is now called responsibility assumption, although this only appears minutely in his written work. One of the core ideas in his books is that it is possible to change other people's behavior by changing one's reaction to them.Born in 1888 in Maryville, Missouri, Carnegie was a poor farmer's boy, the second son of James William Carnagey and wife Amanda Elizabeth Harbison (b. Missouri, February 1858 – living 1910). In his teens, though still having to get up at 4 a.m. every day to milk his parents' cows, he managed to get educated at the State Teacher's College in Warrensburg. His first job after college was selling correspondence courses to ranchers; then he moved on to selling bacon, soap and lard for Armour &amp; Company. He was successful to the point of making his sales territory of South Omaha, Nebraska the national leader for the firm.After saving $500, Carnegie quit sales in 1911 in order to pursue a lifelong dream of becoming a Chautauqua lecturer. He ended up instead attending the American Academy of Dramatic Arts in New York, but found little success as an actor, though it is written that he played the role of Dr. Hartley in a road show of Polly of the Circus.[citation needed] When the production ended, he returned to New York, unemployed, nearly broke, and living at the YMCA on 125th Street. It was there that he got the idea to teach public speaking, and he persuaded the ""Y"" manager to allow him to instruct a class in return for 80% of the net proceeds. In his first session, he had run out of material; improvising, he suggested that students speak about ""something that made them angry"", and discovered that the technique made speakers unafraid to address a public audience. From this 1912 debut, the Dale Carnegie Course evolved. Carnegie had tapped into the average American's desire to have more self-confidence, and by 1914, he was earning $500 - the equivalent of nearly $10,000 now - every week.Perhaps one of Carnegie’s most successful marketing moves was to change the spelling of his last name from “Carnegey” to Carnegie, at a time when Andrew Carnegie (unrelated) was a widely revered and recognized name. By 1916, Dale was able to rent Carnegie Hall itself for a lecture to a packed house. Carnegie's first collection of his writings was Public Speaking: a Practical Course for Business Men (1926), later entitled Public Speaking and Influencing Men in Business (1932). His crowning achievement, however, was when Simon &amp; Schuster published How to Win Friends and Influence People. The book was a bestseller from its debut in 1937, in its 17th printing within a few months. By the time of Carnegie's death, the book had sold five million copies in 31 languages, and there had been 450,000 graduates of his Dale Carnegie Institute. It has been stated in the book that he had critiqued over 150,000 speeches in his participation of the adult education movement of the time. During World War I he served in the U.S. Army.His first marriage ended in divorce in 1931. On November 5, 1944, in Tulsa, Oklahoma, he married Dorothy Price Vanderpool, who also had been divorced. Vanderpool had two daughters; Rosemary, from her first marriage, and Donna Dale from their marriage together.Carnegie died at Forest Hills, New York, and was buried in the Belton, Cass County, Missouri cemetery. The official biography fro";918407;https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People;1936-10-01;;You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 30 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.;Dale Carnegie;English;4.22;[];[];4865;How to Win Friends and Influence People
The Sirens of Titan;"Kurt Vonnegut, Junior was an American novelist, satirist, and most recently, graphic artist. He was recognized as New York State Author for 2001-2003. He was born in Indianapolis, later the setting for many of his novels. He attended Cornell University from 1941 to 1943, where he wrote a column for the student newspaper, the Cornell Daily Sun. Vonnegut trained as a chemist and worked as a journalist before joining the U.S. Army and serving in World War II. After the war, he attended University of Chicago as a graduate student in anthropology and also worked as a police reporter at the City News Bureau of Chicago. He left Chicago to work in Schenectady, New York in public relations for General Electric. He attributed his unadorned writing style to his reporting work. His experiences as an advance scout in the Battle of the Bulge, and in particular his witnessing of the bombing of Dresden, Germany whilst a prisoner of war, would inform much of his work. This event would also form the core of his most famous work, Slaughterhouse-Five, the book which would make him a millionaire. This acerbic 200-page book is what most people mean when they describe a work as ""Vonnegutian"" in scope. Vonnegut was a self-proclaimed humanist and socialist (influenced by the style of Indiana's own Eugene V. Debs) and a lifelong supporter of the American Civil Liberties Union.The novelist is known for works blending satire, black comedy and science fiction, such as Slaughterhouse-Five (1969), Cat's Cradle (1963), and Breakfast of Champions (1973) ";136247;https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan;1959-01-01;;The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.;Kurt Vonnegut Jr.;English;4.15;Hugo Award, Seiun Award 星雲賞;Winston Niles Rumfoord, Malachi Constant (Unk), Salo, Boaz, Beatrice Rumfoord (Bee), Chrono, Stony Stevenson, Noel Constant, Ransom K. Fern;4982;The Sirens of Titan
Архипелаг ГУЛАГ [Arhipelag GULAG], 1918-1956;"also known asAlexander Solzenitsyn (English, alternate)Αλεξάντρ Σολζενίτσιν (Greek)Works, including 
  One Day in the Life of Ivan Denisovich
 (1962) and 
  The Gulag Archipelago
 (1973-1975), of Soviet writer and dissident Aleksandr Isayevich Solzhenitsyn, awarded the Nobel Prize for literature in 1970, exposed the brutality of the labor camp system. This known Russian novelist, dramatist, and historian best helped to make the world aware of the forced Gulag. Exiled in 1974, he returned to Russia in 1994. Solzhenitsyn fathered of Ignat Solzhenitsyn, a conductor and pianist. https://en.wikipedia.org/wiki/Aleksan...";28993;https://www.goodreads.com/book/show/70561.The_Gulag_Archipelago_1918_1956;1973-01-01;0060007761;"Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression—the state within the state that ruled all-powerfully. Through truly Shakespearean portraits of its victims—men, women, and children—we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the welcome that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. The Gulag Archipelago 1918–1956—a grisly indictment of a regime, fashioned here into a veritable literary miracle—has now been updated with a new introduction that includes the fall of the Soviet Union and Solzhenitsyn's move back to Russia.";Aleksandr Solzhenitsyn;English;4.32;[];[];70561;The Gulag Archipelago 1918–1956
Old Yeller;Also known as Frederick Benjamin Gipson. He is best known for writing the 1956 novel Old Yeller, which became a popular 1957 Walt Disney film. ;95982;https://www.goodreads.com/book/show/130580.Old_Yeller;1958-01-01;0060935472;At first, Travis couldn't stand the sight of Old YellerThe stray dog was ugly, and a thieving rascal, too. But he sure was clever, and a smart dog could be a big help on the wild Texas frontier, especially with Papa away on a long cattle drive up to Abilene.Strong and courageous, Old Yeller proved that he could protect Travis's family from any sort of danger. But can Travis do the same for Old Yeller?;Fred Gipson;English;4.1;Newbery Medal, Nene Award, Pacific Northwest Library Association Young Reader's Choice Award, William Allen White Children's Book Award, Oklahoma Sequoyah Award;Old Yeller (Dog);130580;Old Yeller
Rabbit, Run;"John Hoyer Updike was an American writer. Updike's most famous work is his Rabbit series (Rabbit, Run; Rabbit Redux; Rabbit Is Rich; Rabbit At Rest; and Rabbit Remembered). Rabbit is Rich and Rabbit at Rest both won Pulitzer Prizes for Updike. Describing his subject as ""the American small town, Protestant middle class,"" Updike is well known for his careful craftsmanship and prolific writing, having published 22 novels and more than a dozen short story collections as well as poetry, literary criticism and children's books. Hundreds of his stories, reviews, and poems have appeared in The New Yorker since the 1950s. His works often explore sex, faith, and death, and their inter-relationships.He died of lung cancer at age 76.";59105;https://www.goodreads.com/book/show/85386.Rabbit_Run;1960-01-01;0449911659;Rabbit, Run is the book that established John Updike as one of the major American novelists of his—or any other—generation. Its hero is Harry “Rabbit” Angstrom, a onetime high-school basketball star who on an impulse deserts his wife and son. He is twenty-six years old, a man-child caught in a struggle between instinct and thought, self and society, sexual gratification and family duty—even, in a sense, human hard-heartedness and divine Grace. Though his flight from home traces a zigzag of evasion, he holds to the faith that he is on the right path, an invisible line toward his own salvation as straight as a ruler’s edge.;John Updike;English;3.58;National Book Award Finalist;Ruth Leonard, Jack Eccles, Janice Angstrom, Nelson  Angstrom, Harry “Rabbit” Angstrom, Marty Tothero;85386;Rabbit, Run
