authorName;authorAbout;authorID
Martin Cruz Smith;"AKA Simon Quinn, Nick Carter.Martin Cruz Smith (born Martin William Smith), American novelist, received his BA in Creative Writing from the University of Pennsylvania in 1964. He worked as a journalist from 1965 to 1969 before turning his hand to fiction. His first mystery (Gypsy in Amber – 1971) features NY gypsy art dealer Roman Grey and was nominated for an Edgar Award. Nightwing was his breakthrough novel and was made into a movie.Smith is best known for his series of novels featuring Russian investigator Arkady Renko. Gorky Park, published in 1981, was the first of these and was called ""thriller of the '80s"" by Time Magazine. It became a bestseller and won the Gold Dagger Award from the British Crime Writers' Association. Renko has also appeared in Polar Star, Red Square, Havana Bay, Wolves Eat Dogs, Stalin's Ghost, and Three Stations.In the 1970s, Smith wrote The Inquisitor Series under the pseudonym Simon Quinn and penned two Slocum adult action westerns as Jake Logan. He also wrote the Nick Carter: Killmaster series under the alias Nick Carter with Mike Avallone and others.Martin Cruz Smith now lives in San Rafael, California with his wife and three children.";39
Elizabeth George Speare;"I was born in Melrose, Massachusetts, on November 21, 1908. I have lived all my life in New England, and though I love to travel I can't imagine ever calling any other place on earth home. Since I can't remember a time when I didn't intend to write, it is hard to explain why I took so long getting around to it in earnest. But the years seemed to go by very quickly. In 1936 I married Alden Speare and came to Connecticut. Not till both children were in junior high did I find time at last to sit down quietly with a pencil and paper. I turned naturally to the things which had filled my days and thoughts and began to write magazine articles about family living. Then one day I stumbled on a true story from New England history with a character who seemed to me an ideal heroine. Though I had my first historical novel almost by accident it soon proved to be an absorbing hobby."" Elizabeth George Speare (1908-1994) won the 1959 Newbery Medal for THE WITCH OF BLACKBIRD POND, and the 1962 Newbery Medal for THE BRONZE BOW. She also received a Newbery Honor Award in 1983, and in 1989 she was presented with the Laura Ingalls Wilder Award for her substantial and enduring contribution to children’s literature.";40
John Gardner;"John Champlin Gardner was a well-known and controversial American novelist and university professor, best known for his novel Grendel, a retelling of the Beowulf myth.Gardner was born in Batavia, New York. His father was a lay preacher and dairy farmer, and his mother taught English at a local school. Both parents were fond of Shakespeare and often recited literature together. As a child, Gardner attended public school and worked on his father's farm, where, in April of 1945, his younger brother Gilbert was killed in an accident with a cultipacker. Gardner, who was driving the tractor during the fatal accident, carried guilt for his brother's death throughout his life, suffering nightmares and flashbacks. The incident informed much of Gardner's fiction and criticism — most directly in the 1977 short story ""Redemption,"" which included a fictionalized recounting of the accident.From Wikipedia http://en.wikipedia.org/wiki/John_Gar...";41
C.G. Jung;"Carl Gustav Jung (/jʊŋ/; German: [ˈkarl ˈɡʊstaf jʊŋ]), often referred to as C. G. Jung, was a Swiss psychiatrist and psychotherapist who founded analytical psychology. Jung proposed and developed the concepts of extraversion and introversion; archetypes, and the collective unconscious. His work has been influential in psychiatry and in the study of religion, philosophy, archeology, anthropology, literature, and related fields. He was a prolific writer, many of whose works were not published until after his death.The central concept of analytical psychology is individuation—the psychological process of integrating the opposites, including the conscious with the unconscious, while still maintaining their relative autonomy. Jung considered individuation to be the central process of human development.Jung created some of the best known psychological concepts, including the archetype, the collective unconscious, the complex, and synchronicity. The Myers-Briggs Type Indicator (MBTI), a popular psychometric instrument, has been developed from Jung's theory of psychological types.Though he was a practising clinician and considered himself to be a scientist, much of his life's work was spent exploring tangential areas such as Eastern and Western philosophy, alchemy, astrology, and sociology, as well as literature and the arts. Jung's interest in philosophy and the occult led many to view him as a mystic, although his ambition was to be seen as a man of science. His influence on popular psychology, the ""psychologization of religion"", spirituality and the New Age movement has been immense.";43
James Dickey;"Dickey was born in Atlanta, Georgia. After serving as a pilot in the Second World War, he attended Vanderbilt University. Having earned an MA in 1950, Dickey returned to military duty in the Korean War, serving with the US Air Force. Upon return to civilian life Dickey taught at Rice University in Texas and then at the University of Florida. From 1955 to 1961, he worked for advertising agencies in New York and Atlanta. After the publication of his first book, Into the Stone (Middletown, Conn., 1962), he left advertising and began teaching at various colleges and universities. He became poet-in-residence and Carolina Professor of English at the University of South Carolina.Dickey's third volume, Buckdancer's Choice (Middletown, 1965), won the prestigious National Book Award in Poetry. From 1966 to 1968 he served as poetry consultant to the Library of Congress. In 1977 Dickey read his poem 'The Strength of Fields' at President Carter's inauguration. The Hollywood film of his novel Deliverance (Boston, 1970) brought Dickey fame not normally enjoyed by poets.Dickey's poems are a mixture of lyricism and narrative. In some volumes the lyricism dominates, while in others the narrative is the focus. The early books, influenced obviously though not slavishly by Theodore Roethke and perhaps Hopkins, are infused with a sense of private anxiety and guilt. Both emotions are called forth most deeply by the memories of a brother who died before Dickey was born ('In the Tree House at Night') and his war experiences ('Drinking From a Helmet'). These early poems generally employ rhyme and metre.With Buckdancer's Choice, Dickey left traditional formalism behind, developing what he called a 'split-line' technique to vary the rhythm and look of the poem. Some critics argue that by doing so Dickey freed his true poetic voice. Others lament that the lack of formal device led to rhetorical, emotional, and intellectual excess. The truth probably lies somewhere between these two assessments, and it will be left to the reader to decide which phase of Dickey's career is most attractive.Dickey's most comprehensive volume is The Whole Motion (Hanover, NH, and London, 1992). His early poems are collected in The Early Motion (Middletown, 1981). Recent individual volumes include The Eagle's Mile (Hanover and London, 1990) and Falling, May Day Sermon, and Other Poems (Hanover and London, 1982). Dickey has also published collections of autobiographical essays, Self Interviews (Garden City, NY, 1970; repr. New York, 1984) and Sorties (Garden City, 197 1; repr. New York, 1984).From The Oxford Companion to Twentieth-century Poetry in English. Ed. Ian Hamilton. Oxford: Oxford University Press, 1994. Copyright © 1994 by Oxford University Press.";44
Joseph Campbell;"Joseph Campbell was an American author and teacher best known for his work in the field of comparative mythology. He was born in New York City in 1904, and from early childhood he became interested in mythology. He loved to read books about American Indian cultures, and frequently visited the American Museum of Natural History in New York, where he was fascinated by the museum's collection of totem poles. Campbell was educated at Columbia University, where he specialized in medieval literature, and continued his studies at universities in Paris and Munich. While abroad he was influenced by the art of Pablo Picasso and Henri Matisse, the novels of James Joyce and Thomas Mann, and the psychological studies of Sigmund Freud and Carl Jung. These encounters led to Campbell's theory that all myths and epics are linked in the human psyche, and that they are cultural manifestations of the universal need to explain social, cosmological, and spiritual realities. After a period in California, where he encountered John Steinbeck and the biologist Ed Ricketts, he taught at the Canterbury School, and then, in 1934, joined the literature department at Sarah Lawrence College, a post he retained for many years. During the 40s and '50s, he helped Swami Nikhilananda to translate the Upanishads and The Gospel of Sri Ramakrishna. He also edited works by the German scholar Heinrich Zimmer on Indian art, myths, and philosophy. In 1944, with Henry Morton Robinson, Campbell published A Skeleton Key to Finnegans Wake. His first original work, The Hero with a Thousand Faces, came out in 1949 and was immediately well received; in time, it became acclaimed as a classic. In this study of the ""myth of the hero,"" Campbell asserted that there is a single pattern of heroic journey and that all cultures share this essential pattern in their various heroic myths. In his book he also outlined the basic conditions, stages, and results of the archetypal hero's journey.Throughout his life, he traveled extensively and wrote prolifically, authoring many books, including the four-volume series The Masks of God, Myths to Live By, The Inner Reaches of Outer Space and The Historical Atlas of World Mythology. Joseph Campbell died in 1987. In 1988, a series of television interviews with Bill Moyers, The Power of Myth, introduced Campbell's views to millions of people.";45
Tom Wolfe;"Wolfe was educated at Washington and Lee Universities and also at Yale, where he received a PhD in American studies. Tom Wolfe spent his early days as a Washington Post beat reporter, where his free-association, onomatopoetic style would later become the trademark of New Journalism. In books such as The Electric Koolaid Acid Test, The Right Stuff, and The Bonfire of the Vanities, Wolfe delves into the inner workings of the mind, writing about the unconscious decisions people make in their lives. His attention to eccentricities of human behavior and language and to questions of social status are considered unparalleled in the American literary canon.He is one of the founders of the New Journalism movement of the 1960s and 1970s.Tom Wolfe is also famous for coining and defining the term 
  fiction-absolute
.http://us.macmillan.com/author/tomwolfe";46
Iain Banks;"This author also published science fiction under the pseudonym Iain M. Banks.Banks's father was an officer in the Admiralty and his mother was once a professional ice skater. Iain Banks was educated at the University of Stirling where he studied English Literature, Philosophy and Psychology. He moved to London and lived in the south of England until 1988 when he returned to Scotland, living in Edinburgh and then Fife.Banks met his wife Annie in London, before the release of his first book. They married in Hawaii in 1982. However, he announced in early 2007 that, after 25 years together, they had separated. He lived most recently in North Queensferry, a town on the north side of the Firth of Forth near the Forth Bridge and the Forth Road Bridge.As with his friend Ken MacLeod (another Scottish writer of technical and social science fiction) a strong awareness of left-wing history shows in his writings. The argument that an economy of abundance renders anarchy and adhocracy viable (or even inevitable) attracts many as an interesting potential experiment, were it ever to become testable. He was a signatory to the Declaration of Calton Hill, which calls for Scottish independence.In late 2004, Banks was a prominent member of a group of British politicians and media figures who campaigned to have Prime Minister Tony Blair impeached following the 2003 invasion of Iraq. In protest he cut up his passport and posted it to 10 Downing Street. In an interview in Socialist Review he claimed he did this after he ""abandoned the idea of crashing my Land Rover through the gates of Fife dockyard, after spotting the guys armed with machine guns."" He related his concerns about the invasion of Iraq in his book Raw Spirit, and the principal protagonist (Alban McGill) in the novel The Steep Approach to Garbadale confronts another character with arguments in a similar vein.Interviewed on Mark Lawson's BBC Four series, first broadcast in the UK on 14 November 2006, Banks explained why his novels are published under two different names. His parents wished to name him Iain Menzies Banks but his father made a mistake when registering the birth and he was officially registered as Iain Banks. Despite this he continued to use his unofficial middle name and it was as Iain M. Banks that he submitted The Wasp Factory for publication. However, his editor asked if he would mind dropping the 'M' as it appeared ""too fussy"". The editor was also concerned about possible confusion with Rosie M. Banks, a minor character in some of P.G. Wodehouse's Jeeves novels who is a romantic novelist. After his first three mainstream novels his publishers agreed to publish his first SF novel, Consider Phlebas. To distinguish between the mainstream and SF novels, Banks suggested the return of the 'M', although at one stage he considered John B. Macallan as his SF pseudonym, the name deriving from his favourite whiskies: Johnnie Walker Black Label and The Macallan single malt.His latest book was a science fiction (SF) novel in the Culture series, called The Hydrogen Sonata, published in 2012.Author Iain M. Banks revealed in April 2013 that he had late-stage cancer. He died the following June.The Scottish writer posted a message on his official website saying his next novel The Quarry, due to be published later this year*, would be his last.* The Quarry was published in June 2013.";47
Corrie ten Boom;Corrie ten Boom and her family were Christians who were active in social work in their home town of Haarlem, the Netherlands. During the Nazi occupation, they chose to act out their faith through peaceful resistance to the Nazis by active participation in the Dutch underground. They were hiding, feeding and transporting Jews and underground members hunted by the Gestapo out of the country. It is estimated they were able to save the lives of 800 Jews, in addition to protecting underground workers. On Feb. 28, 1944, they were betrayed and Corrie and several relatives were arrested. The four Jews and two underground workers in the house at the time of the arrest were not located by the Nazis and were extricated by the underground 47 hours after they fled to the tiny hiding place (located in Corrie's room). The ten Boom family members were separated and transferred to concentration camps. Corrie was allowed to stay with her precious sister, Betsy. Corrie's father (Casper), her sister (Betsy) and one grandchild (Kik) perished. Corrie was released in December of 1944.These acts of heroism and sacrifice became the foundation for Corrie ten Boom's global writing and speaking career which began after she was released. Ten Boom has received numerous awards for her writing and speaking. Notably, she was honored by the State of Israel for her work in aid of the Jewish people by being invited to plant a tree in the famous Avenue of the Righteous Gentiles, at the Yad Vashem Holocaust Museum, near Jerusalem. She was also knighted by the Queen of the Netherlands in recognition of her work during the war, and a museum in the Dutch city of Haarlem is dedicated to her and her family.;48
Alex Haley;Alexander Murray Palmer Haley was an American writer. He is best known as the author of Roots: The Saga of an American Family, and of The Autobiography of Malcolm X, the latter of which he wrote in collaboration with Malcolm X.;49
G.K. Chesterton;Gilbert Keith Chesterton was an English writer, philosopher, lay theologian, and literary and art critic. He was educated at St. Paul’s, and went to art school at University College London. In 1900, he was asked to contribute a few magazine articles on art criticism, and went on to become one of the most prolific writers of all time. He wrote a hundred books, contributions to 200 more, hundreds of poems, including the epic Ballad of the White Horse, five plays, five novels, and some two hundred short stories, including a popular series featuring the priest-detective, Father Brown. In spite of his literary accomplishments, he considered himself primarily a journalist. He wrote over 4000 newspaper essays, including 30 years worth of weekly columns for the Illustrated London News, and 13 years of weekly columns for the Daily News. He also edited his own newspaper, G.K.’s Weekly.Chesterton was equally at ease with literary and social criticism, history, politics, economics, philosophy, and theology. ;50
Frederick Forsyth;Frederick Forsyth, CBE is an English author and occasional political commentator. He is best known for thrillers such as The Day of the Jackal, The Odessa File, The Fourth Protocol, The Dogs of War, The Devil's Alternative, The Fist of God, Icon, The Veteran, Avenger, The Afghan, and recently The Cobra and The Kill List.The son of a furrier, he was born in Ashford, Kent, educated at Tonbridge School and later attended the University of Granada. He became one of the youngest pilots in the Royal Air Force at 19, where he served on National Service from 1956 to 1958. Becoming a journalist, he joined Reuters in 1961 and later the BBC in 1965, where he served as an assistant diplomatic correspondent. From July to September 1967, he served as a correspondent covering the Nigerian Civil War between the region of Biafra and Nigeria. He left the BBC in 1968 after controversy arose over his alleged bias towards the Biafran cause and accusations that he falsified segments of his reports. Returning to Biafra as a freelance reporter, Forsyth wrote his first book, The Biafra Story in 1969.Forsyth decided to write a novel using similar research techniques to those used in journalism. His first full length novel, The Day of the Jackal, was published in 1971 and became an international bestseller and gained its author the Edgar Allan Poe Award for Best Novel. It was later made into a film of the same name.;51
John Wyndham;John Wyndham Parkes Lucas Beynon Harris was the son of a barrister. After trying a number of careers, including farming, law, commercial art and advertising, he started writing short stories in 1925. After serving in the civil Service and the Army during the war, he went back to writing. Adopting the name John Wyndham, he started writing a form of science fiction that he called 'logical fantasy'. As well as The Day of the Triffids, he wrote The Kraken Wakes, The Chrysalids, The Midwich Cuckoos (filmed as Village of the Damned) and The Seeds of Time.;52
Ken Kesey;"Ken Kesey was American writer, who gained world fame with his novel One Flew Over the Cuckoo's Nest (1962, filmed 1975). In the 1960s, Kesey became a counterculture hero and a guru of psychedelic drugs with Timothy Leary. Kesey has been called the Pied Piper, who changed the beat generation into the hippie movement.Ken Kesey was born in La Junta, CO, and brought up in Eugene, OR. He spent his early years hunting, fishing, swimming; he learned to box and wrestle, and he was a star football player. He studied at the University of Oregon, where he acted in college plays. On graduating he won a scholarship to Stanford University. Kesey soon dropped out, joined the counterculture movement, and began experimenting with drugs. In 1956 he married his school sweetheart, Faye Haxby.Kesey attended a creative writing course taught by the novelist Wallace Stegner. His first work was an unpublished novel, ZOO, about the beatniks of the North Beach community in San Francisco. Tom Wolfe described in his book The Electric Kool-Aid Acid Test (1968) Kesey and his friends, called the Merry Pranksters, as they traveled the country and used various hallucinogens. Their bus, called Furthur, was painted in Day-Glo colors. In California Kesey's friends served LSD-laced Kool-Aid to members of their parties.At a Veterans' Administration hospital in Menlo Park, California, Kesey was paid as a volunteer experimental subject, taking mind-altering drugs and reporting their effects. These experiences as a part-time aide at a psychiatric hospital, LSD sessions - and a vision of an Indian sweeping there the floor - formed the background for One Flew Over The Cuckoo's Nest, set in a mental hospital. While writing the work, and continuing in the footsteps of such writers as Thomas De Quincy (Confessions of an English Opium Eater, 1821), Aldous Huxley (The Doors of Perception, 1954), and William S. Burroughs (Naked Lunch, 1959), Kesey took peyote. The story is narrated by Chief Bromden. Into his world enters the petty criminal and prankster Randall Patrick McMurphy with his efforts to change the bureaucratic system of the institution, ruled by Nurse Ratched. The film adaptation of the book gained a huge success. When the film won five Academy Awards, Kesey was barely mentioned during the award ceremonies, and he made known his unhappiness with the film. He did not like Jack Nicholson, or the script, and sued the producers.Kesey's next novel, Sometimes a Great Notion (1964), appeared two years later and was also made into a film, this time directed by Paul Newman. The story was set in a logging community and centered on two brothers and their bitter rivalry in the family. After the work, Kesey gave up publishing novels. He formed a band of ""Merry Pranksters"", set up a commune in La Honda, California, bought an old school bus, and toured America and Mexico with his friends, among them Neal Cassady, Kerouac's travel companion. Dressed in a jester's outfit, Kesey was the chief prankster.In 1965 Kesey was arrested for possession of marijuana. He fled to Mexico, where he faked an unconvincing suicide and then returned to the United States, serving a five-month prison sentence at the San Mateo County Jail. After this tumultuous period he bought farm in Pleasant Hill, Oregon, settled down with his wife to raise their four children, and taught a graduate writing seminar at the University of Oregon. In the early 1970s Kesey returned to writing and published Kesey's Garage Sale (1973). His later works include the children's book Little Tricker the Squirrel Meets Big Double the Bear(1990) and Sailor Song (1992), a futuristic tale about an Alaskan fishing village and Hollywood film crew. Last Go Around (1994), Kesey's last book, was an account of a famous Oregon rodeo written in the form of pulp fiction. In 2001, Kesey died of complications after surgery for liver cance";53
Robert Musil;Austrian writer. He graduated military boarding school at Eisenstadt (1892-1894) and then Hranice, in that time also known as Mährisch Weißkirchen, (1894-1897). These school experiences are reflected in his first novel, The Confusions of Young Törless. He served in the army during The First World War. When Austria became a part of the Third Reich in 1938, Musil left for exile in Switzerland, where he died of a stroke on April 15, 1942. Musil collapsed in the middle of his gymnastic exercises and is rumoured to have died with an expression of ironic amusement on his face. He was 61 years old.;54
Muriel Spark;"Dame Muriel Spark, DBE was a prolific Scottish novelist, short story writer and poet whose darkly comedic voice made her one of the most distinctive writers of the twentieth century. In 2008 The Times newspaper named Spark in its list of ""the 50 greatest British writers since 1945"". Spark received the James Tait Black Memorial Prize in 1965 for The Mandelbaum Gate, the Ingersoll Foundation TS Eliot Award in 1992 and the David Cohen Prize in 1997. She became Dame Commander of the Order of the British Empire in 1993, in recognition of her services to literature. She has been twice shortlisted for the Booker Prize, in 1969 for The Public Image and in 1981 for Loitering with Intent. In 1998, she was awarded the Golden PEN Award by English PEN for ""a Lifetime's Distinguished Service to Literature"". In 2010, Spark was shortlisted for the Lost Man Booker Prize of 1970 for The Driver's Seat.Spark received eight honorary doctorates in her lifetime. These included a Doctor of the University degree (Honoris causa) from her alma mater, Heriot-Watt University in 1995; a Doctor of Humane Letters (Honoris causa) from the American University of Paris in 2005; and Honorary Doctor of Letters degrees from the Universities of Aberdeen, Edinburgh, London, Oxford, St Andrews and Strathclyde.Spark grew up in Edinburgh and worked as a department store secretary, writer for trade magazines, and literary editor before publishing her first novel, The Comforters, in 1957. The Prime of Miss Jean Brodie, published in 1961, and considered her masterpiece, was made into a stage play, a TV series, and a film.";55
Franz Kafka;"Prague-born writer Franz Kafka wrote in German, and his stories, such as ""
  The Metamorphosis
"" (1916), and posthumously published novels, including 
  The Trial
 (1925), concern troubled individuals in a nightmarishly impersonal world.Jewish middle-class family of this major fiction writer of the 20th century spoke German. People consider his unique body of much incomplete writing, mainly published posthumously, among the most influential in European literature. His stories include ""The Metamorphosis"" (1912) and ""
  In the Penal Colony
"" (1914), whereas his posthumous novels include The Trial (1925), 
  The Castle
 (1926) and 
  Amerika
 (1927).Despite first language, Kafka also spoke fluent Czech. Later, Kafka acquired some knowledge of the French language and culture from Flaubert, one of his favorite authors. Kafka first studied chemistry at the Charles-Ferdinand University of Prague but after two weeks switched to law. This study offered a range of career possibilities, which pleased his father, and required a longer course of study that gave Kafka time to take classes in German studies and art history. At the university, he joined a student club, named Lese- und Redehalle der Deutschen Studenten, which organized literary events, readings, and other activities. In the end of his first year of studies, he met Max Brod, a close friend of his throughout his life, together with the journalist Felix Weltsch, who also studied law. Kafka obtained the degree of doctor of law on 18 June 1906 and performed an obligatory year of unpaid service as law clerk for the civil and criminal courts. Writing of Kafka attracted little attention before his death. During his lifetime, he published only a few short stories and never finished any of his novels except the very short ""The Metamorphosis."" Kafka wrote to Max Brod, his friend and literary executor: ""Dearest Max, my last request: Everything I leave behind me ... in the way of diaries, manuscripts, letters (my own and others'), sketches, and so on, [is] to be burned unread."" Brod told Kafka that he intended not to honor these wishes, but Kafka, so knowing, nevertheless consequently gave these directions specifically to Brod, who, so reasoning, overrode these wishes. Brod in fact oversaw the publication of most of work of Kafka in his possession; these works quickly began to attract attention and high critical regard. Max Brod encountered significant difficulty in compiling notebooks of Kafka into any chronological order as Kafka started writing in the middle of notebooks, from the last towards the first, et cetera.Kafka wrote all his published works in German except several letters in Czech to Milena Jesenská. ";56
Gaston Leroux;"Gaston Louis Alfred Leroux was a French journalist and author of detective fiction.In the English-speaking world, he is best known for writing the novel The Phantom of the Opera (Le Fantôme de l'Opéra, 1910), which has been made into several film and stage productions of the same name, such as the 1925 film starring Lon Chaney, and Andrew Lloyd Webber's 1986 musical. It was also the basis of the 1990 novel Phantom by Susan Kay.Leroux went to school in Normandy and studied law in Paris, graduating in 1889. He inherited millions of francs and lived wildly until he nearly reached bankruptcy. Then in 1890, he began working as a court reporter and theater critic for L'Écho de Paris. His most important journalism came when he began working as an international correspondent for the Paris newspaper Le Matin. In 1905 he was present at and covered the Russian Revolution. Another case he was present at involved the investigation and deep coverage of an opera house in Paris, later to become a ballet house. The basement consisted of a cell that held prisoners in the Paris Commune, which were the rulers of Paris through much of the Franco-Prussian war.He suddenly left journalism in 1907, and began writing fiction. In 1909, he and Arthur Bernède formed their own film company, Société des Cinéromans to simultaneously publish novels and turn them into films. He first wrote a mystery novel entitled Le mystère de la chambre jaune (1908; The Mystery of the Yellow Room), starring the amateur detective Joseph Rouletabille. Leroux's contribution to French detective fiction is considered a parallel to Sir Arthur Conan Doyle's in the United Kingdom and Edgar Allan Poe's in America. Leroux died in Nice on April 15, 1927, of a urinary tract infection.";57
Alan Moore;"Alan Moore is an English writer most famous for his influential work in comics, including the acclaimed graphic novels Watchmen, V for Vendetta and From Hell. He has also written a novel, Voice of the Fire, and performs ""workings"" (one-off performance art/spoken word pieces) with The Moon and Serpent Grand Egyptian Theatre of Marvels, some of which have been released on CD.As a comics writer, Moore is notable for being one of the first writers to apply literary and formalist sensibilities to the mainstream of the medium. As well as including challenging subject matter and adult themes, he brings a wide range of influences to his work, from the literary–authors such as William S. Burroughs, Thomas Pynchon, Robert Anton Wilson and Iain Sinclair; New Wave science fiction writers such as Michael Moorcock; horror writers such as Clive Barker; to the cinematic–filmmakers such as Nicolas Roeg. Influences within comics include Will Eisner, Harvey Kurtzman, Jack Kirby and Bryan Talbot.";58
Cormac McCarthy;Cormac McCarthy was an American novelist and playwright. He wrote twelve novels in the Southern Gothic, western, and post-apocalyptic genres and also wrote plays and screenplays. He received the Pulitzer Prize in 2007 for The Road, and his 2005 novel No Country for Old Men was adapted as a 2007 film of the same name, which won four Academy Awards, including Best Picture. His earlier Blood Meridian (1985) was among Time Magazine's poll of 100 best English-language books published between 1925 and 2005, and he placed joint runner-up for a similar title in a poll taken in 2006 by The New York Times of the best American fiction published in the last 25 years. Literary critic Harold Bloom named him one of the four major American novelists of his time, along with Thomas Pynchon, Don DeLillo, and Philip Roth. He is frequently compared by modern reviewers to William Faulkner. In 2009, Cormac McCarthy won the PEN/Saul Bellow Award, a lifetime achievement award given by the PEN American Center.;59
James Baldwin;"Librarian Note: There is more than one author in the Goodreads database with this name. See this thread for more information.James Arthur Baldwin was an American novelist, essayist, playwright, poet, and social critic.James Baldwin offered a vital literary voice during the era of civil rights activism in the 1950s and '60s. He was the eldest of nine children; his stepfather was a minister. At age 14, Baldwin became a preacher at the small Fireside Pentecostal Church in Harlem. In the early 1940s, he transferred his faith from religion to literature. Critics, however, note the impassioned cadences of Black churches are still evident in his writing. Go Tell It on the Mountain, his first novel, is a partially autobiographical account of his youth. His essay collections Notes of a Native Son, Nobody Knows My Name, and The Fire Next Time were influential in informing a large white audience.From 1948, Baldwin made his home primarily in the south of France, but often returned to the USA to lecture or teach. In 1957, he began spending half of each year in New York City. His novels include Giovanni's Room, about a white American expatriate who must come to terms with his homosexuality, and Another Country, about racial and gay sexual tensions among New York intellectuals. His inclusion of gay themes resulted in a lot of savage criticism from the Black community. Eldridge Cleaver, of the Black Panthers, stated the Baldwin's writing displayed an ""agonizing, total hatred of blacks."" Baldwin's play, Blues for Mister Charlie, was produced in 1964. Going to Meet the Man and Tell Me How Long the Train's Been Gone provided powerful descriptions of American racism. As an openly gay man, he became increasingly outspoken in condemning discrimination against lesbian and gay people.On November 30, 1987 Baldwin died from stomach cancer in Saint-Paul-de-Vence, France. He was buried at the Ferncliff Cemetery in Hartsdale, near New York City.";60
Keri Hulme;Hulme, Keri (1947–2021), novelist, short story writer and poet, gained international recognition with her award-winning The Bone People. Within New Zealand she has held writing fellowships at several universities, served on the Literary Fund Advisory Committee (1985–89) and the Indecent Publications Tribunal (1985–90), and in 1986–88 was appointed ‘cultural ambassador’ while travelling in connection with The Bone People.Born and raised in Otautahi, Christchurch, Hulme is the eldest of six children. Her father, a carpenter and first-generation New Zealander whose parents came from Lancashire, died when Hulme was 11. Her mother came from Oamaru, of Orkney Scots and Maori descent (Käi Tahu, Käti Mämoe). Hulme was schooled at North New Brighton Primary School and Aranui HS (Christchurch). Her holidays were spent with her mother’s extended family at Moeraki, on the Otago East Coast, a landscape filled with the residue of its Maori past, which remains important for linking Hulme with her Maori ancestors: ‘I love it better than any place on Earth. It is my turangawaewae-ngakau, the standing-place of my heart.’ The Bone People (Spiral Collective, 1984) won the 1984 New Zealand Book Award for Fiction, and the prestigious international Booker Prize in 1985. 'Set on the harsh South Island beaches of New Zealand, bound in Maori myth and entwined with Christian symbols, Miss Hulme's provocative novel summons power with words, as a conjuror's spell. She casts her magic on three fiercely unique characters, but reminds us that we, like them, are 'nothing more than people', and that, in a sense, we are all cannibals, compelled to consume the gift of love with demands for perfection' (New York Times Book Review).Source: Read NZ https://www.read-nz.org/writer/hulme-....;61
Simone de Beauvoir;"Simone de Beauvoir was a French author and philosopher. She wrote novels, monographs on philosophy, political and social issues, essays, biographies, and an autobiography. She is now best known for her metaphysical novels, including ""She Came to Stay"" and ""The Mandarins"", and for her 1949 treatise ""The Second Sex"", a detailed analysis of women's oppression and a foundational tract of contemporary feminism.----Simone de Beauvoir est née à Paris le 9 janvier 1908. Elle fit ses études jusqu'au baccalauréat dans le très catholique cours Désir. Agrégée de philosophie en 1929, elle enseigna à Marseille, à Rouen et à Paris jusqu'en 1943. C'est L'Invitée (1943) qu'on doit considérer comme son véritable début littéraire. Viennent ensuite Le sang des autres (1945), Tous les hommes sont mortels (1946), Les Mandarins (prix Goncourt 1954), Les Belles Images (1966) et La Femme rompue (1968). Simone de Beauvoir a écrit des mémoires où elle nous donne elle-même à connaître sa vie, son œuvre. L'ampleur de l'entreprise autobiographique trouve sa justification, son sens, dans une contradiction essentielle à l'écrivain : choisir lui fut toujours impossible entre le bonheur de vivre et la nécessité d'écrire ; d'une part la splendeur contingente, de l'autre la rigueur salvatrice. Faire de sa propre existence l'objet de son écriture, c'était en partie sortir de ce dilemme. Outre le célèbre Deuxième sexe (1949) devenu l'ouvrage de référence du mouvement féministe mondial, l'œuvre théorique de Simone de Beauvoir comprend de nombreux essais philosophiques ou polémiques. Après la mort de Jean-Paul Sartre, Simone de Beauvoir a publié La Cérémonie des adieux (1981) et les Lettres au Castor (1983) qui rassemblent une partie de l'abondante correspondance qu'elle reçut de lui. Jusqu'au jour de sa mort, le 14 avril 1986, elle a collaboré activement à la revue fondée par Sartre et elle-même, Les Temps Modernes, et manifesté sous des formes diverses et innombrables sa solidarité avec le féminisme.";62
Jorge Luis Borges;"Jorge Francisco Isidoro Luis Borges Acevedo, usually referred to as Jorge Luis Borges (Spanish pronunciation: [xoɾxe lwis boɾxes]), was an Argentine writer and poet born in Buenos Aires. In 1914, his family moved to Switzerland where he attended school and traveled to Spain. On his return to Argentina in 1921, Borges began publishing his poems and essays in Surrealist literary journals. He also worked as a librarian and public lecturer. Borges was fluent in several languages. He was a target of political persecution during the Peron regime, and supported the military juntas that overthrew it.Due to a hereditary condition, Borges became blind in his late fifties. In 1955, he was appointed director of the National Public Library (Biblioteca Nacional) and professor of Literature at the University of Buenos Aires. In 1961, he came to international attention when he received the first International Publishers' Prize Prix Formentor. His work was translated and published widely in the United States and in Europe. He died in Geneva, Switzerland, in 1986.J. M. Coetzee said of Borges: ""He, more than anyone, renovated the language of fiction and thus opened the way to a remarkable generation of Spanish American novelists."" ";63
